age,sex,education,income,east-west,happiness,health,lived_abroad,orientation
31,Male,2,1625,East,3,3,No,1
73,Female,2,291,West,9,4,No,6
28,Male,3,1550,East,8,4,No,9
20,Male,4,700,West,9,4,No,2
76,Female,2,670,East,6,3,No,6
53,Female,5,2800,East,10,5,No,6
75,Female,2,1200,East,5,3,No,6
31,Male,3,1600,West,10,5,Yes,3
53,Female,3,1200,East,8,4,No,6
24,Female,5,180,West,8,5,No,6
26,Male,5,400,East,10,5,No,3
30,Female,5,2080,East,9,3,Yes,2
51,Male,5,4000,West,7,2,Yes,5
25,Male,2,1400,West,7,4,No,9
52,Male,5,2500,West,9,4,No,1
45,Female,5,1800,West,7,3,Yes,2
68,Male,5,3100,West,10,5,Yes,1
27,Female,5,400,West,7,5,Yes,3
31,Female,5,1600,West,9,4,No,3
42,Female,3,1063,West,8,3,No,2
76,Male,2,1200,West,6,3,No,9
52,Female,3,1800,West,8,4,No,2
48,Female,3,1188,East,9,4,No,9
65,Male,3,2625,West,7,3,No,2
40,Male,3,2000,West,6,2,No,6
57,Male,5,3000,West,6,3,No,2
50,Male,3,3000,West,5,4,No,6
48,Male,3,3000,West,9,5,No,1
38,Female,2,550,East,5,4,No,6
54,Male,3,2875,West,10,5,No,9
34,Female,5,1500,East,7,4,No,6
76,Male,2,1477,West,4,1,Yes,3
53,Female,2,1000,West,8,3,No,3
60,Male,5,3400,West,8,3,No,6
34,Female,3,1313,East,9,4,No,6
88,Male,5,3000,West,10,5,No,9
44,Male,3,3200,West,9,4,No,1
86,Male,3,1700,East,7,3,No,1
67,Female,2,450,West,10,4,No,2
59,Female,5,1400,East,8,4,No,1
53,Female,4,1200,East,7,3,No,3
48,Female,4,2200,West,9,3,No,3
85,Female,2,1450,West,4,1,No,6
46,Male,5,2800,West,8,4,No,6
59,Male,3,2375,West,9,3,No,6
74,Male,2,1150,East,8,5,No,1
51,Male,2,1700,West,10,3,No,3
83,Female,2,1400,West,9,5,No,2
57,Female,3,2375,West,6,3,No,6
61,Female,4,1700,West,9,3,No,2
29,Female,5,4000,West,9,4,Yes,3
90,Male,2,1800,West,8,3,No,3
45,Female,5,1650,West,7,5,No,1
72,Male,2,1100,East,8,4,No,3
49,Male,5,1200,West,7,4,No,1
82,Male,3,1600,West,8,3,Yes,9
55,Male,2,1300,West,8,3,No,3
78,Female,2,1500,West,5,2,No,6
39,Male,2,1400,West,6,3,Yes,3
52,Male,3,3000,West,9,5,No,6
65,Female,3,500,West,10,4,No,2
59,Female,3,2200,West,7,5,Yes,1
69,Female,4,900,East,8,4,No,1
52,Male,5,4200,West,9,5,No,3
80,Male,2,1800,West,8,2,Yes,3
73,Female,3,1300,West,8,3,No,6
29,Male,3,2000,East,9,5,No,6
39,Male,5,1200,West,7,4,No,1
44,Male,5,3000,East,8,4,Yes,1
61,Female,2,420,West,8,4,No,2
51,Female,5,1900,West,9,5,No,6
56,Male,5,1875,East,9,4,No,2
63,Male,3,1000,East,10,3,No,5
42,Female,5,2400,West,8,2,No,3
32,Female,2,700,West,6,4,No,9
73,Female,3,813,East,8,4,Yes,2
38,Female,5,3225,West,8,4,No,2
80,Female,2,1400,West,6,1,No,5
52,Male,5,3000,West,9,4,Yes,3
32,Female,5,3200,West,9,4,Yes,5
50,Female,3,1400,West,6,3,No,3
79,Female,2,920,East,6,4,No,3
45,Male,3,1500,East,3,3,No,5
54,Female,4,2100,West,6,3,Yes,2
66,Female,3,1800,West,8,3,No,6
